state,STATE_NAME,category,abr,job_post,color
ACT,Australian Capital Territory,Management and Commerce,M&C,197,0.91
ACT,Australian Capital Territory,Information Technology,IT,57,0.82
ACT,Australian Capital Territory,Health,H,39,0.73
ACT,Australian Capital Territory,Society and Culture,S&C,32,0.64
ACT,Australian Capital Territory,Architecture and Building,A&B,29,0.55
ACT,Australian Capital Territory,Education,ED,27,0.45
ACT,Australian Capital Territory,Food and Hospitality,F&H,24,0.36
ACT,Australian Capital Territory,Engineering,EN,13,0.27
ACT,Australian Capital Territory,Agriculture and Environment,A&E,4,0.18
ACT,Australian Capital Territory,Creative Arts,CA,3,0.09
ACT,Australian Capital Territory,Natural and Physical Sciences,N&P,2,0.0
