state,STATE_NAME,category,abr,job_post,color
,,NT,,,
NT,Northern Territory,Management and Commerce,M&C,78.0,0.91
NT,Northern Territory,Health,H,29.0,0.82
NT,Northern Territory,Society and Culture,S&C,24.0,0.73
NT,Northern Territory,Food and Hospitality,F&H,17.0,0.64
NT,Northern Territory,Engineering,EN,15.0,0.55
NT,Northern Territory,Architecture and Building,A&B,12.0,0.45
NT,Northern Territory,Information Technology,IT,7.0,0.36
NT,Northern Territory,Education,ED,7.0,0.27
NT,Northern Territory,Agriculture and Environment,A&E,1.0,0.18
NT,Northern Territory,Creative Arts,CA,1.0,0.09
NT,Northern Territory,Natural and Physical Sciences,N&P,1.0,0.0
