state,STATE_NAME,category,abr,job_post,color
,,TAS,,,
TAS,Tasmania,Management and Commerce,M&C,68.0,0.91
TAS,Tasmania,Health,H,29.0,0.82
TAS,Tasmania,Engineering,EN,18.0,0.73
TAS,Tasmania,Society and Culture,S&C,14.0,0.64
TAS,Tasmania,Food and Hospitality,F&H,12.0,0.55
TAS,Tasmania,Information Technology,IT,5.0,0.45
TAS,Tasmania,Architecture and Building,A&B,5.0,0.36
TAS,Tasmania,Agriculture and Environment,A&E,3.0,0.27
TAS,Tasmania,Education,ED,2.0,0.18
TAS,Tasmania,Creative Arts,CA,2.0,0.09
TAS,Tasmania,Natural and Physical Sciences,N&P,2.0,0.0
