state,STATE_NAME,category,avg_salary,abr,color
TAS,Tasmania,Architecture and Building,115952.28711484597,A&B,0.91
TAS,Tasmania,Engineering,110985.11159226793,EN,0.82
TAS,Tasmania,Information Technology,104244.33771929824,IT,0.73
TAS,Tasmania,Health,100681.05982431828,H,0.64
TAS,Tasmania,Education,95027.0208,ED,0.55
TAS,Tasmania,Natural and Physical Sciences,89123.54,N&P,0.45
TAS,Tasmania,Management and Commerce,87112.19918605914,M&C,0.36
TAS,Tasmania,Society and Culture,79941.71632179846,S&C,0.27
TAS,Tasmania,Creative Arts,76219.28846153848,CA,0.18
TAS,Tasmania,Agriculture and Environment,70804.125,A&E,0.09
TAS,Tasmania,Food and Hospitality,58228.84957157667,F&H,0.0
