,state,STATE_NAME,category,abr,job_post,color
0,VIC,Victoria,Management and Commerce,M&C,2842,0.91
1,VIC,Victoria,Information Technology,IT,443,0.82
2,VIC,Victoria,Society and Culture,S&C,385,0.73
5,VIC,Victoria,Architecture and Building,A&B,367,0.64
7,VIC,Victoria,Food and Hospitality,F&H,364,0.55
3,VIC,Victoria,Health,H,360,0.45
6,VIC,Victoria,Education,ED,224,0.36
4,VIC,Victoria,Engineering,EN,216,0.27
10,VIC,Victoria,Natural and Physical Sciences,N&P,34,0.18
9,VIC,Victoria,Creative Arts,CA,32,0.09
8,VIC,Victoria,Agriculture and Environment,A&E,16,0.0
