,state,STATE_NAME,category,abr,job_post
0,,,NSW,,
1,NSW,New South Wales,Management and Commerce,M&C,3798.0
2,NSW,New South Wales,Information Technology,IT,694.0
3,NSW,New South Wales,Society and Culture,S&C,578.0
4,NSW,New South Wales,Health,H,393.0
5,NSW,New South Wales,Engineering,EN,294.0
6,NSW,New South Wales,Architecture and Building,A&B,518.0
7,NSW,New South Wales,Education,ED,237.0
8,NSW,New South Wales,Food and Hospitality,F&H,518.0
9,NSW,New South Wales,Agriculture and Environment,A&E,30.0
10,NSW,New South Wales,Creative Arts,CA,67.0
11,NSW,New South Wales,Natural and Physical Sciences,N&P,37.0
