,state,STATE_NAME,category,abr,job_post
0,,,TAS,,
1,TAS,Tasmania,Management and Commerce,M&C,68.0
2,TAS,Tasmania,Information Technology,IT,5.0
3,TAS,Tasmania,Society and Culture,S&C,14.0
4,TAS,Tasmania,Health,H,29.0
5,TAS,Tasmania,Engineering,EN,18.0
6,TAS,Tasmania,Architecture and Building,A&B,5.0
7,TAS,Tasmania,Education,ED,2.0
8,TAS,Tasmania,Food and Hospitality,F&H,12.0
9,TAS,Tasmania,Agriculture and Environment,A&E,3.0
10,TAS,Tasmania,Creative Arts,CA,2.0
11,TAS,Tasmania,Natural and Physical Sciences,N&P,2.0
