,state,STATE_NAME,category,avg_salary,abr
0,NSW,New South Wales,Management and Commerce,91040.17134262777,M&C
1,NSW,New South Wales,Information Technology,108780.24948015208,IT
2,NSW,New South Wales,Society and Culture,81881.95571874588,S&C
3,NSW,New South Wales,Health,99756.31924785102,H
4,NSW,New South Wales,Engineering,110856.5439362016,EN
5,NSW,New South Wales,Architecture and Building,110671.66631727984,A&B
6,NSW,New South Wales,Education,93610.55053601912,ED
7,NSW,New South Wales,Food and Hospitality,57999.06887312831,F&H
8,NSW,New South Wales,Agriculture and Environment,69111.73243051644,A&E
9,NSW,New South Wales,Creative Arts,77979.1940298507,CA
10,NSW,New South Wales,Natural and Physical Sciences,91445.6383783784,N&P
