,state,STATE_NAME,category,avg_salary,abr
0,QLD,Queensland,Management and Commerce,88155.17921185236,M&C
1,QLD,Queensland,Information Technology,106139.79292716013,IT
2,QLD,Queensland,Society and Culture,78589.85758417266,S&C
3,QLD,Queensland,Health,100672.01041340113,H
4,QLD,Queensland,Engineering,107266.59417246976,EN
5,QLD,Queensland,Architecture and Building,109860.12455323205,A&B
6,QLD,Queensland,Education,94417.80405106388,ED
7,QLD,Queensland,Food and Hospitality,60498.05621045658,F&H
8,QLD,Queensland,Agriculture and Environment,72992.27496742958,A&E
9,QLD,Queensland,Creative Arts,80066.31768255691,CA
10,QLD,Queensland,Natural and Physical Sciences,87607.70900000002,N&P
