,category,city,geo,job_title,job_type,salary_offered,state,STATE_NAME
0,Management and Commerce,Sydney,AU,Store Manager - Fresh Produce,Full Time,100000.0,NSW,New South Wales
1,Information Technology,Brisbane,AU,Client Solution Analyst,Full Time,96056.27447887324,QLD,Queensland
2,Management and Commerce,Sydney,AU,Service Technician / Installer - NSW,Full Time,65715.15306289308,NSW,New South Wales
3,Management and Commerce,Melbourne,AU,Workshop Technician I Material Handling Equipment,Full Time,65715.15306289308,VIC,Victoria
4,Management and Commerce,Adelaide,AU,APPRENTICESHIP JUNIOR BAKER,Full Time,65715.15306289308,SA,South Australia
5,Management and Commerce,Melbourne,AU,Quality Management Systems Associate,Full Time,160947.12263099218,VIC,Victoria
6,Management and Commerce,Sydney,AU,Yates - National Account Manager Grocery - Padstow NSW,Full Time,93566.96469366565,NSW,New South Wales
7,Society and Culture,Brisbane,AU,Family Support Worker-Aboriginal &Torres Strait Islander ,Full Time,69071.80343283582,QLD,Queensland
8,Health,Melbourne,AU,Allied Health Assistant â€“ Physiotherapy,Full Time,99058.5219250646,VIC,Victoria
9,Information Technology,Sydney,AU,IT Systems Administrator,Full Time,108194.06286549706,NSW,New South Wales
10,Engineering,Brisbane,AU,Operations Co-Ordinator,Full Time,105640.70786516853,QLD,Queensland
11,Architecture and Building,Brisbane,AU,"Draftsperson - Oxworks - Crestmead, Brisbane",Full Time,65000.0,QLD,Queensland
12,Management and Commerce,Sydney,AU,Project Manger,Full Time,115000.0,NSW,New South Wales
13,Management and Commerce,Melbourne,AU,Electronic Security Technical Install Manager,Full Time,99999.5,VIC,Victoria
14,Engineering,"Port Hedland, Karratha & Pilbara",AU,Mechanical Supervisor,Full Time,105640.70786516853,WA,Western Australia
15,Management and Commerce,Sydney,AU,Digital Content Coordinator,Full Time,93001.11038961039,NSW,New South Wales
16,Management and Commerce,Melbourne,AU,Labourer,Full Time,160947.12263099218,VIC,Victoria
17,Management and Commerce,Sydney,AU,Senior Financial Planner,Full Time,130000.0,NSW,New South Wales
18,Management and Commerce,Gold Coast,AU,Marketing Coordinator,Full Time,93001.11038961039,QLD,Queensland
19,Information Technology,Melbourne,AU,Business Development Manager,Full Time,108194.06286549706,VIC,Victoria
20,Health,Rockhampton & Capricorn Coast,AU,Pharmacist Internship,Full Time,99058.5219250646,QLD,Queensland
21,Management and Commerce,"Wollongong, Illawarra & South Coast",AU,Leading Hand Plumber,Full Time,65715.15306289308,NSW,New South Wales
22,Management and Commerce,Sydney,AU,Social Media Specialist,Full Time,93001.11038961039,NSW,New South Wales
23,Health,Blue Mountains & Central West,AU,Occupational Therapist,Full Time,99058.5219250646,NSW,New South Wales
24,Management and Commerce,"Newcastle, Maitland & Hunter",AU,MOTOR MECHANIC,Full Time,54999.5,NSW,New South Wales
25,Management and Commerce,Brisbane,AU,Coach Builder,Full Time,160947.12263099218,QLD,Queensland
26,Architecture and Building,Perth,AU,Projects Manager,Full Time,115952.28711484595,WA,Western Australia
27,Information Technology,Melbourne,AU,Junior Helpdesk Developer,Full Time,108194.06286549706,VIC,Victoria
28,Engineering,Perth,AU,Marine Crew - Master position,Full Time,105640.70786516853,WA,Western Australia
29,Management and Commerce,Sydney,AU,Insolvency Intermediate/Senior,Full Time,94007.92065263158,NSW,New South Wales
30,Society and Culture,Brisbane,AU,Recruitment Consultant,Full Time,88824.94166666668,QLD,Queensland
31,Education,"Newcastle, Maitland & Hunter",AU,Secondary Teachers required for the UK - Interviews to be Conducted in Australia,Full Time,95027.0208,NSW,New South Wales
32,Management and Commerce,Sydney,AU,Asset & Contracts Manager,Full Time,94007.92065263158,NSW,New South Wales
33,Management and Commerce,Melbourne,AU,Cleaner Driver - Tullamarine,Full Time,65715.15306289308,VIC,Victoria
