,state,STATE_NAME,category,avg_salary,abr
0,TAS,Tasmania,Management and Commerce,87112.19918605914,M&C
1,TAS,Tasmania,Information Technology,104244.33771929824,IT
2,TAS,Tasmania,Society and Culture,79941.71632179846,S&C
3,TAS,Tasmania,Health,100681.05982431828,H
4,TAS,Tasmania,Engineering,110985.11159226793,EN
5,TAS,Tasmania,Architecture and Building,115952.28711484597,A&B
6,TAS,Tasmania,Education,95027.0208,ED
7,TAS,Tasmania,Food and Hospitality,58228.84957157667,F&H
8,TAS,Tasmania,Agriculture and Environment,70804.125,A&E
9,TAS,Tasmania,Creative Arts,76219.28846153848,CA
10,TAS,Tasmania,Natural and Physical Sciences,89123.54,N&P
