,category,city,geo,job_title,job_type,salary_offered,state,STATE_NAME
0,Management and Commerce,Melbourne,AU,Sales - Junior Account Executive - US Tech Vendor,Full Time,256666.66666666663,VIC,Victoria
1,Management and Commerce,Melbourne,AU,Chief Financial Officer,Full Time,225000.0,VIC,Victoria
2,Management and Commerce,Melbourne,AU,Enterprise Business Development Manager,Full Time,200000.0,VIC,Victoria
3,Management and Commerce,Melbourne,AU,Enterprise Business Development Director - ASX Top 100,Full Time,200000.0,VIC,Victoria
4,Management and Commerce,Melbourne,AU,Retail Leasing Manager - Shopping Centre's,Full Time,200000.0,VIC,Victoria
5,Management and Commerce,Melbourne,AU,"Senior Development Manager - Mixed Use - Office, Retail, Resi",Full Time,200000.0,VIC,Victoria
6,Management and Commerce,Melbourne,AU,Acquisitions Manager ,Full Time,200000.0,VIC,Victoria
7,Management and Commerce,Melbourne,AU,Head of eCommerce - Daily management of multiple eCom sites and team.,Full Time,190000.0,VIC,Victoria
8,Management and Commerce,Melbourne,AU,Account Manager â€“ Cable Management,Full Time,187200.0,VIC,Victoria
9,Management and Commerce,Melbourne,AU,Risk and Compliance Manager,Full Time,180000.0,VIC,Victoria
10,Information Technology,Melbourne,AU,Business Development Manager,Full Time,200000.0,VIC,Victoria
11,Information Technology,Melbourne,AU,Enterprise Business Development Manager,Full Time,175000.0,VIC,Victoria
12,Information Technology,Melbourne,AU,Java Development Manager,Full Time,170000.0,VIC,Victoria
13,Information Technology,Melbourne,AU,IT Infrastructure Manager,Full Time,165000.0,VIC,Victoria
14,Information Technology,Melbourne,AU,Digital Engineering - Solution Design and Development,Full Time,159999.5,VIC,Victoria
15,Information Technology,Melbourne,AU,Client Relationship Manager,Full Time,150000.0,VIC,Victoria
16,Information Technology,Melbourne,AU,Web Front-end Tech Lead,Full Time,150000.0,VIC,Victoria
17,Information Technology,Melbourne,AU,Enterprise Architect,Full Time,150000.0,VIC,Victoria
18,Information Technology,Melbourne,AU,Agile Consultant ( Agile Coach/ Scrum Master),Full Time,150000.0,VIC,Victoria
19,Information Technology,Melbourne,AU,New Business Development Manager - ERP Software,Full Time,150000.0,VIC,Victoria
20,Society and Culture,Melbourne,AU,Senior Property Lawyer - Equity Partnership,Full Time,190000.0,VIC,Victoria
21,Society and Culture,Melbourne,AU,HR Business Partner ,Full Time,166400.0,VIC,Victoria
22,Society and Culture,Melbourne,AU,Senior Family Lawyer,Full Time,140000.0,VIC,Victoria
23,Society and Culture,Melbourne,AU,Senior Associate - Construction,Full Time,140000.0,VIC,Victoria
24,Society and Culture,Melbourne,AU,Senior Workplace Relations Consultant,Full Time,129500.0,VIC,Victoria
25,Society and Culture,Mildura & Murray,AU,Economic and Community Development Manager,Full Time,125000.0,VIC,Victoria
26,Society and Culture,Melbourne,AU,HR Business Partner,Full Time,120000.0,VIC,Victoria
27,Society and Culture,Melbourne,AU,Human Resources Manager ,Full Time,120000.0,VIC,Victoria
28,Society and Culture,Melbourne,AU,"Associate Insurance Lawyer, Professional Indemnity Litigation",Full Time,120000.0,VIC,Victoria
29,Society and Culture,Melbourne,AU,Administration Assistant,Full Time,119600.0,VIC,Victoria
30,Health,Melbourne,AU,Sonographer South Eastern Suburbs OTE $200k,Full Time,200000.0,VIC,Victoria
31,Health,Melbourne,AU,Sonographer,Full Time,162400.0,VIC,Victoria
32,Health,Mornington Peninsula & Bass Coast,AU,Career Medical Officer (CCU),Full Time,140075.0,VIC,Victoria
33,Health,Melbourne,AU,Senior Lecturer,Full Time,125671.5,VIC,Victoria
34,Health,Traralgon & La Trobe Valley,AU,"Facility Manager - $120,000 + super + salary packaging",Full Time,120000.0,VIC,Victoria
35,Health,Melbourne,AU,"Executive Clinical Lead - Box Hill Location - $115,000 package + NFP",Full Time,115000.0,VIC,Victoria
36,Health,Melbourne,AU,"Clinical Specialist (Registered Nurse) Aged Care: Regional VIC: $115,000 package",Full Time,115000.0,VIC,Victoria
37,Health,Bairnsdale & Gippsland,AU,Optometrist,Full Time,109999.5,VIC,Victoria
38,Health,Melbourne,AU,"Department of Health Assistant Director, Executive Level 1, Forensic Accountant",Full Time,107563.0,VIC,Victoria
39,Health,Melbourne,AU,"Department of Health - Assistant Director, Executive -Level 1 General Compliance",Full Time,107563.0,VIC,Victoria
40,Engineering,Melbourne,AU,Night Shift Maintenance Fitter,Full Time,324390.0,VIC,Victoria
41,Engineering,Melbourne,AU,Associate Director - Structural Engineering,Full Time,200000.0,VIC,Victoria
42,Engineering,Melbourne,AU,Facade Manager,Full Time,190000.0,VIC,Victoria
43,Engineering,Melbourne,AU,Senior Civil Engineer,Full Time,175000.0,VIC,Victoria
44,Engineering,Melbourne,AU,Principal Engineer Structures,Full Time,170000.0,VIC,Victoria
45,Engineering,Melbourne,AU,Structural Revit Drafter,Full Time,166400.0,VIC,Victoria
46,Engineering,Melbourne,AU,Senior RAMS Engineer,Full Time,150000.0,VIC,Victoria
47,Engineering,Melbourne,AU,Electrical Engineer,Full Time,150000.0,VIC,Victoria
