Year,Industry,Wage
2000,Mining,1311.2
2001,Mining,1357.3
2002,Mining,1384.1
2003,Mining,1452.8
2004,Mining,1492.4
2005,Mining,1500.8
2006,Mining,1609.3
2007,Mining,1714.3
2008,Mining,1818.2
2009,Mining,1952.9
2010,Mining,2069.6
2011,Mining,2172.9
2012,Mining,2381.2
2013,Mining,2490.4
2014,Mining,2518.1
2015,Mining,2555.1
2016,Mining,2625.2
2017,Mining,2619.8
2018,Mining,2664.1
2019,Mining,2626.1
2020,Mining,2862.6
2021,Mining,2937.73
2000,Manufacturing,717.9
2001,Manufacturing,757.9
2002,Manufacturing,820.2
2003,Manufacturing,878
2004,Manufacturing,905
2005,Manufacturing,935
2006,Manufacturing,988.5
2007,Manufacturing,1013.8
2008,Manufacturing,1050.6
2009,Manufacturing,1078.7
2010,Manufacturing,1089.7
2011,Manufacturing,1144.5
2012,Manufacturing,1157.5
2013,Manufacturing,1247.3
2014,Manufacturing,1268.5
2015,Manufacturing,1266.9
2016,Manufacturing,1295.1
2017,Manufacturing,1309.4
2018,Manufacturing,1340.3
2019,Manufacturing,1338.3
2020,Manufacturing,1434.2
2021,Manufacturing,1466.91
2000,"Electricity, Gas, Water and Waste Services",897.1
2001,"Electricity, Gas, Water and Waste Services",967.7
2002,"Electricity, Gas, Water and Waste Services",963.4
2003,"Electricity, Gas, Water and Waste Services",1031.7
2004,"Electricity, Gas, Water and Waste Services",1062.9
2005,"Electricity, Gas, Water and Waste Services",1121.7
2006,"Electricity, Gas, Water and Waste Services",1199
2007,"Electricity, Gas, Water and Waste Services",1230.1
2008,"Electricity, Gas, Water and Waste Services",1298.8
2009,"Electricity, Gas, Water and Waste Services",1385.1
2010,"Electricity, Gas, Water and Waste Services",1541.8
2011,"Electricity, Gas, Water and Waste Services",1596.9
2012,"Electricity, Gas, Water and Waste Services",1665.1
2013,"Electricity, Gas, Water and Waste Services",1672.2
2014,"Electricity, Gas, Water and Waste Services",1707.4
2015,"Electricity, Gas, Water and Waste Services",1745.7
2016,"Electricity, Gas, Water and Waste Services",1830.7
2017,"Electricity, Gas, Water and Waste Services",1856.2
2018,"Electricity, Gas, Water and Waste Services",1868.9
2019,"Electricity, Gas, Water and Waste Services",1925.8
2020,"Electricity, Gas, Water and Waste Services",2022.4
2021,"Electricity, Gas, Water and Waste Services",2076.52
2000,Construction,738.4
2001,Construction,751.2
2002,Construction,802
2003,Construction,847.3
2004,Construction,841.9
2005,Construction,887.1
2006,Construction,919.7
2007,Construction,1036.9
2008,Construction,1079
2009,Construction,1219.7
2010,Construction,1218.4
2011,Construction,1307.2
2012,Construction,1377.9
2013,Construction,1458.2
2014,Construction,1508.2
2015,Construction,1474.8
2016,Construction,1439.5
2017,Construction,1501.8
2018,Construction,1438.2
2019,Construction,1489.9
2020,Construction,1615.091
2021,Construction,1656.539
2000,Wholesale Trade,703.5
2001,Wholesale Trade,749.5
2002,Wholesale Trade,782.2
2003,Wholesale Trade,849.2
2004,Wholesale Trade,892.2
2005,Wholesale Trade,922.4
2006,Wholesale Trade,977.4
2007,Wholesale Trade,1004.2
2008,Wholesale Trade,1043.3
2009,Wholesale Trade,1062.4
2010,Wholesale Trade,1103.5
2011,Wholesale Trade,1252.4
